,x,y,S-S22
332,2000.0,2500.0,-0.0607706
333,2100.0,2500.0,-0.0609028
334,2200.0,2500.0,-0.0613179
335,2300.0,2500.0,-0.0613472
336,2400.0,2500.0,-0.0610393
337,2400.0,-2500.0,-0.177106
338,2300.0,-2500.0,-0.176459
339,2200.0,-2500.0,-0.176086
340,2100.0,-2500.0,-0.17585
341,2000.0,-2500.0,-0.175539
342,1900.0,-2500.0,-0.175136
343,1800.0,-2500.0,-0.174503
344,1700.0,-2500.0,-0.173984
345,1600.0,-2500.0,-0.173268
346,1500.0,-2500.0,-0.172251
347,1400.0,-2500.0,-0.171337
348,1300.0,-2500.0,-0.170548
349,1200.0,-2500.0,-0.169526
350,1100.0,-2500.0,-0.168209
351,1000.0,-2500.0,-0.166999
352,900.0,-2500.0,-0.165993
353,800.0,-2500.0,-0.164841
354,700.0,-2500.0,-0.163687
355,600.0,-2500.0,-0.162689
356,500.0,-2500.0,-0.161653
357,400.0,-2500.0,-0.160568
358,300.0,-2500.0,-0.159643
359,200.0,-2500.0,-0.15931
360,100.0,-2500.0,-0.158482
361,2500.0,2400.0,-0.0629039
362,2500.0,2300.0,-0.0653961
363,2500.0,2200.0,-0.0680269
364,2500.0,2100.0,-0.0704967
365,2500.0,2000.0,-0.0729448
366,2500.0,1900.0,-0.075331
367,2500.0,1800.0,-0.0778882
368,2500.0,1700.0,-0.0804381
369,2500.0,1600.0,-0.0828947
370,2500.0,1500.0,-0.0855995
371,2500.0,1400.0,-0.0882302
372,2500.0,1300.0,-0.0906338
373,2500.0,1200.0,-0.0929294
374,2500.0,1100.0,-0.0954122
375,2500.0,1000.0,-0.0980173
376,2500.0,900.0,-0.100431
377,2500.0,800.0,-0.102742
378,2500.0,700.0,-0.105214
379,2500.0,600.0,-0.107596
380,2500.0,500.0,-0.109828
381,2500.0,400.0,-0.112192
382,2500.0,300.0,-0.114624
383,2500.0,200.0,-0.117041
384,2500.0,100.0,-0.119636
385,2500.0,-100.0,-0.123978
386,2500.0,-200.0,-0.12644
387,2500.0,-300.0,-0.128803
388,2500.0,-400.0,-0.131277
389,2500.0,-500.0,-0.133561
390,2500.0,-600.0,-0.135749
391,2500.0,-700.0,-0.138094
392,2500.0,-800.0,-0.140391
393,2500.0,-900.0,-0.142549
394,2500.0,-1000.0,-0.144857
395,2500.0,-1100.0,-0.147272
396,2500.0,-1200.0,-0.149515
397,2500.0,-1300.0,-0.151633
398,2500.0,-1400.0,-0.153893
399,2500.0,-1500.0,-0.156252
400,2500.0,-1600.0,-0.158454
401,2500.0,-1700.0,-0.160571
402,2500.0,-1800.0,-0.162743
403,2500.0,-1900.0,-0.1649
404,2500.0,-2000.0,-0.167002
405,2500.0,-2100.0,-0.169158
406,2500.0,-2200.0,-0.171411
407,2500.0,-2300.0,-0.17369
408,2500.0,-2400.0,-0.175957
409,-17.6777,17.6777,
410,-35.3553,35.3553,
411,-53.033,53.033,
412,-70.7107,70.7107,
413,-88.3884,88.3884,
414,-106.066,106.066,
415,-123.744,123.744,
416,-141.421,141.421,
417,-159.099,159.099,
418,-176.777,176.777,
419,-194.454,194.454,
420,-212.132,212.132,
421,-229.81,229.81,
422,-247.487,247.487,
423,-265.165,265.165,
424,-282.843,282.843,
425,-300.52,300.52,
426,-318.198,318.198,
427,-335.876,335.876,
428,-370.476,335.779,-0.099984
429,-386.505,317.197,-0.111445
430,-401.604,297.85,-0.128198
431,-415.735,277.785,-0.144011
432,-428.864,257.051,-0.159551
433,-440.961,235.698,-0.174526
434,-451.995,213.778,-0.188355
435,-461.94,191.342,-0.200154
436,-470.772,168.445,-0.210621
437,-478.47,145.142,-0.219966
438,-485.016,121.49,-0.228385
439,-490.393,97.5452,-0.235771
440,-494.588,73.3652,-0.241754
441,-497.592,49.0086,-0.246089
442,-499.398,24.5338,-0.249053
443,-475.0,0.0,
444,-450.0,0.0,
445,-425.0,0.0,
446,-400.0,0.0,
447,-375.0,0.0,
448,-350.0,0.0,
449,-325.0,0.0,
450,-300.0,0.0,
451,-275.0,0.0,
452,-250.0,0.0,
453,-225.0,0.0,
454,-200.0,0.0,
455,-175.0,0.0,
456,-150.0,0.0,
457,-125.0,0.0,
458,-100.0,0.0,
459,-75.0,0.0,
460,-50.0,0.0,
461,-25.0,0.0,
462,-499.398,-24.5338,-0.251177
463,-497.592,-49.0086,-0.245578
464,-494.588,-73.3652,-0.244089
465,-490.393,-97.5452,-0.239451
466,-485.016,-121.49,-0.232915
